  species_id sex avg_hindfoot_length       avg_weight
1          AH   M                <NA>             <NA>
2          AH   F                <NA>             <NA>
3          BA   M    12.6428571428571 7.35714285714286
4          BA   F    13.1612903225806 9.16129032258065
5          DM   M    36.1882290562036 44.3531336088154
6          DM   F    35.7126917712692 41.6096846846847
7          DO   M    35.6987804878049 49.1351017890191
8          DO   F    35.4863344051447         48.53125
9          DS   M    50.3019390581717 122.290983606557
10         DS   F    49.5831739961759 117.749547920434
11         DX   M                <NA>             <NA>
12         DX   F                <NA>             <NA>
13         NL   M    32.5774336283186 165.652892561983
14         NL   F    32.0241935483871 154.282208588957
15         NX   M                <NA>             <NA>
16         NX   F                <NA>             <NA>
17         OL   M    20.7583333333333 32.0684104627767
18         OL   F    20.2876712328767 31.0658174097665
19         OT   M     20.257399103139 23.6953818827709
20         OT   F    20.2816486751717 24.8309037900875
21         OX   M                18.8               21
22         OX   F    19.6666666666667               21
23         PB   M    26.4319868095631 33.8164983164983
24         PB   F    25.8826747720365 30.2108843537415
25         PE   M    20.1321321321321 20.5849056603774
26         PE   F    20.2720588235294 22.8221830985915
27         PF   M    15.6207792207792 7.88528678304239
28         PF   F    15.5506241331484  7.9743935309973
29         PH   M    25.5454545454545 31.4545454545455
30         PH   F                25.9            30.85
31         PI   M                22.5 19.4285714285714
32         PI   F                <NA>             <NA>
33         PL   M    20.2631578947368 18.6842105263158
34         PL   F               19.75          19.3125
35         PM   M    20.5300207039337 20.8012048192771
36         PM   F    20.2797783933518 22.1256684491979
37         PP   M    21.8386426592798 17.1844863731656
38         PP   F    21.6766200762389 17.1806696146557
39         PX   M                  20               18
40         PX   F                  19               20
41         RF   M                17.5 12.4444444444444
42         RF   F    17.5272727272727 13.6842105263158
43         RM   M     16.491512345679 10.1232262882748
44         RM   F    16.3918799646955 11.1021959459459
45         RO   M                  16              9.5
46         RO   F               14.75               11
47         RX   M                18.5             15.5
48         RX   F                <NA>             <NA>
49         SF   M    26.3478260869565 53.4347826086956
50         SF   F                27.5               69
51         SH   M    27.9833333333333 65.1774193548387
52         SH   F    29.0281690140845 78.7564102564103
53         SO   M    25.7272727272727             55.7
54         SO   F    25.6333333333333 55.3225806451613
55         SS   M                <NA>              130
56         SS   F                <NA>               57
57         ST   M                <NA>             <NA>
58         ST   F                <NA>             <NA>
59         SX   M                <NA>             <NA>
60         SX   F                <NA>             <NA>
